               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.091,            0.036788,                   0,            0.032209,             0.13253,            0.014058,           0.0036943,            0.051143,            0.019472,                   0,              0.0928,              0.0008,              0.0008
                   1,            0.078766,            0.030065,                   0,            0.019184,             0.16867,            0.017121,           0.0039282,            0.043056,            0.014389,                   0,            0.084694,           0.0016944,           0.0016944
                   2,            0.076374,            0.025837,                   0,            0.060247,             0.44578,             0.05814,            0.017655,            0.036572,             0.01229,                   0,            0.076583,           0.0025828,           0.0025828
                   3,            0.066298,            0.025511,                   0,             0.39075,             0.28916,             0.31291,             0.10904,            0.034255,             0.01066,                   0,            0.068465,           0.0034654,           0.0034654
                   4,            0.061038,            0.024977,                   0,             0.29552,             0.36145,             0.24777,            0.072495,            0.033317,            0.011566,                   0,            0.060342,           0.0043419,           0.0043419
                   5,            0.058725,            0.024576,                   0,             0.25324,             0.39759,             0.21838,            0.058295,            0.031615,             0.01238,                   0,            0.052213,           0.0052126,           0.0052126
                   6,            0.062209,            0.021782,                   0,             0.26418,             0.39796,              0.1984,            0.051375,             0.03363,           0.0084771,                   0,            0.044077,           0.0060772,           0.0060772
                   7,            0.051831,            0.022828,                   0,             0.37165,             0.36145,             0.32639,              0.1017,            0.031397,            0.011308,                   0,            0.035936,            0.006936,            0.006936
                   8,            0.062716,            0.020777,                   0,             0.42566,             0.28916,             0.31571,            0.092976,            0.028451,            0.011164,                   0,            0.027789,           0.0077888,           0.0077888
                   9,            0.053656,            0.022061,                   0,             0.42806,             0.39759,             0.32561,            0.091512,            0.032315,            0.014253,                   0,            0.019636,           0.0086357,           0.0086357
                  10,            0.057695,            0.020233,                   0,              0.2838,             0.33735,             0.22898,            0.079761,            0.034428,            0.010098,                   0,            0.011477,           0.0094766,           0.0094766
                  11,            0.057531,            0.019817,                   0,              0.3528,             0.44578,             0.26729,            0.085179,            0.029083,            0.016272,                   0,            0.009637,            0.009637,            0.009637
                  12,             0.05482,            0.019472,                   0,             0.33998,              0.4096,              0.3442,              0.1012,            0.027235,              0.0196,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.05382,            0.022284,                   0,             0.20982,             0.31325,             0.18452,            0.055268,            0.030496,            0.014821,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.051933,            0.021629,                   0,             0.27514,             0.39759,              0.2085,            0.057898,            0.030381,            0.012866,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.053628,            0.019844,                   0,             0.29037,             0.45849,             0.30126,            0.093684,            0.026277,            0.012692,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.052443,            0.021325,                   0,             0.33458,             0.49398,             0.28763,             0.10012,            0.026062,            0.010082,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.051515,            0.020263,                   0,             0.51877,             0.50602,             0.44785,             0.15806,            0.022739,           0.0090945,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.049867,            0.020126,                   0,             0.60035,             0.50678,             0.50792,             0.16189,            0.024192,           0.0087147,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.047896,            0.020208,                   0,             0.41133,             0.45783,             0.34884,             0.10627,            0.026315,           0.0084383,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.051201,            0.020569,                   0,             0.48797,             0.57831,             0.44172,             0.16315,            0.024055,           0.0087115,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.047834,            0.020808,                   0,             0.48711,             0.56072,             0.39225,             0.11195,             0.02661,            0.010099,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.040002,            0.019148,                   0,             0.54388,             0.59036,             0.47442,             0.13279,            0.026826,            0.010767,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.050167,            0.018862,                   0,             0.60858,             0.56627,             0.54543,             0.17493,            0.027604,             0.01058,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.03964,            0.018516,                   0,             0.55389,             0.56846,             0.51938,             0.17346,            0.025924,           0.0094156,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.044492,            0.019991,                   0,             0.58177,             0.54217,             0.52948,             0.16122,            0.023476,            0.010291,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.040922,            0.019036,                   0,             0.51269,             0.61446,             0.47707,             0.14513,            0.026213,            0.010249,                   0,            0.009175,            0.009175,            0.009175
