               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.033007,            0.018234,                   0,             0.64716,             0.66295,               0.652,             0.26141,            0.023155,           0.0086745,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.032034,            0.019092,                   0,             0.73533,             0.72289,             0.70158,             0.30503,            0.022157,           0.0085671,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.03155,              0.0174,                   0,             0.77315,             0.69809,             0.73438,             0.31583,            0.022614,           0.0084964,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.035318,            0.018057,                   0,             0.77402,              0.6506,              0.6932,             0.29214,            0.023152,           0.0086567,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.036972,            0.018319,                   0,             0.75921,             0.66265,             0.69384,             0.31876,            0.023124,           0.0085217,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.029744,            0.017273,                   0,             0.74888,              0.6747,             0.69351,             0.31014,            0.022999,           0.0085958,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.035843,            0.018846,                   0,             0.72461,              0.6506,             0.68419,             0.30913,            0.022928,           0.0086352,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.03076,            0.017997,                   0,             0.68217,              0.6747,             0.68895,             0.30539,            0.023095,            0.008691,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.029207,            0.018548,                   0,              0.6804,              0.6988,              0.6743,             0.29022,            0.023019,           0.0087128,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.034001,            0.018783,                   0,             0.68939,             0.69527,             0.68211,             0.30227,            0.022938,           0.0087149,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.036095,             0.01791,                   0,             0.71032,             0.71084,             0.67495,             0.29872,             0.02266,           0.0086889,                   0,            0.000496,            0.000496,            0.000496
