               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.034531,             0.01817,                   0,             0.69223,             0.65036,             0.64261,             0.24963,            0.024102,           0.0086728,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.033424,            0.019146,                   0,             0.71941,             0.67964,             0.64747,             0.26545,            0.024306,            0.008685,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.031949,            0.017648,                   0,             0.73245,              0.6747,             0.70307,             0.27883,            0.024367,           0.0088285,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.034995,             0.01808,                   0,              0.7369,             0.64117,             0.68786,             0.27338,            0.023907,           0.0089342,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.036832,            0.018433,                   0,             0.63669,             0.69677,             0.65087,             0.28257,            0.023266,           0.0084101,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.031099,            0.017423,                   0,             0.66164,             0.73039,             0.67957,             0.30652,            0.023007,           0.0081825,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.037296,            0.019064,                   0,             0.64916,              0.6988,             0.65877,             0.30452,            0.022782,            0.008164,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.031956,            0.018162,                   0,              0.6634,             0.68865,             0.67419,             0.30087,            0.022594,           0.0082968,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.029852,            0.018635,                   0,             0.68815,             0.68675,             0.69333,             0.29918,            0.022609,           0.0084514,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.034531,            0.018837,                   0,             0.69576,              0.6747,             0.66788,              0.2852,            0.022705,           0.0085323,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.036376,            0.018038,                   0,             0.70946,             0.68675,             0.68317,             0.28633,            0.022707,           0.0085314,                   0,            0.000496,            0.000496,            0.000496
